trial,lag,T1_pos,T2_pos,thisN,thisTrialN,thisRepN,T1_target,T2_target,textbox1.text,textbox2.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction.started,key_resp1.started,instructions.stopped,key_resp1.keys,key_resp1.rt,key_resp1.duration,trial.started,fixation.started,trial.stopped,rsvp.started,stream_text.started,rsvp.stopped,trials.T1_target,trials.T2_target,response.started,text.started,textbox1.started,textbox2.started,text.stopped,button.started,response.stopped,trials.textbox1.text,trials.textbox2.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,fixation.stopped,thank_you.started,text_2.started,key_resp.started,thank_you.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
4,8,4,12,19,3,2,7,2,7,2,1,[3.064292100025341],[3.0643007999751717],2,3,19,3,134.9303254,,,,,,,,,134.9147643,134.9303254,135.4137475,135.413814,135.4297747,136.8451905,7,2,136.8457652,136.8612602,138.0601407,138.0601407,138.0601407,138.1603818,141.2250127,7,2,1,[3.064292100025341],[3.0643007999751717],135.4297747,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
5,2,5,7,20,4,2,6,5,6,5,1,[3.8303382999729365],[3.8303467999212444],2,4,20,4,141.2416029,,,,,,,,,141.2252875,141.2416029,141.7406822,141.7407565,141.7571143,143.1555266,6,5,143.1561605,143.1716978,144.3539109,144.3539109,144.3871147,144.470442,148.3011233,6,5,1,[3.8303382999729365],[3.8303467999212444],,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
6,3,5,8,21,5,2,2,4,7,2,1,[3.7140833999728784],[3.7140938999364153],2,5,21,5,148.3167545,,,,,,,,,148.3014073,148.3167545,148.8006479,148.8007134,148.8169235,150.2323001,2,4,150.2328842,150.2480217,151.446765,151.446765,151.446765,151.5466848,155.2611507,7,2,1,[3.7140833999728784],[3.7140938999364153],148.8169235,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
7,5,5,10,22,6,2,3,1,3,1,1,[3.813194200047292],[3.8132026001112536],2,6,22,6,155.2763476,,,,,,,,,155.2614427,155.2763476,155.7601099,155.7601766,155.77681,157.1913831,3,1,157.1919256,157.2086478,158.3900565,158.3900565,158.4232803,158.4898612,162.3033903,3,1,1,[3.813194200047292],[3.8132026001112536],155.77681,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
8,8,5,13,23,7,2,1,8,1,8,1,[2.9149303999729455],[2.914940599934198],2,7,23,7,162.3193662,,,,,,,,,162.3036577,162.3193662,162.8032523,162.8033198,162.819051,164.2348032,1,8,164.2353668,164.2507407,165.4495938,165.4495938,165.4495938,165.5495005,168.4648202,1,8,1,[2.9149303999729455],[2.914940599934198],162.819051,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
1,2,4,6,24,0,3,5,5,5,6,1,[3.514292399981059],[3.5143014999339357],3,0,24,0,168.4802747,,,,,,,,,168.465108,168.4802747,168.9634756,168.9635427,168.9801732,170.3949225,5,5,170.3954778,170.4117704,171.6101978,171.6101978,171.627222,171.7100771,175.2247681,5,6,1,[3.514292399981059],[3.5143014999339357],168.9801732,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
2,3,4,7,25,1,3,5,2,5,2,1,[3.2152485999977216],[3.215258700074628],3,1,25,1,175.2409076,,,,,,,,,175.2250524,175.2409076,175.7239868,175.7240546,175.7393969,177.1553387,5,2,177.1559229,177.1714901,178.3701373,178.3701373,178.3867731,178.4533239,181.6689657,5,2,1,[3.2152485999977216],[3.215258700074628],175.7393969,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
3,5,4,9,26,2,3,2,6,2,6,1,[3.7305671999929473],[3.730576299945824],3,2,26,2,181.6840883,,,,,,,,,181.6692697,181.6840883,182.1831325,182.183208,182.2003397,183.5990529,2,6,183.5996062,183.6149119,184.8137066,184.8137066,184.8137066,184.913611,188.6445236,2,6,1,[3.7305671999929473],[3.730576299945824],,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
4,8,4,12,27,3,3,8,8,8,8,1,[2.8984827999956906],[2.898492000065744],3,3,27,3,188.6604189,,,,,,,,,188.6447907,188.6604189,189.1434505,189.1435163,189.1595767,190.5754918,8,8,190.5760395,190.5918199,191.7901928,191.7901928,191.8067872,191.8900415,194.7889026,8,8,1,[2.8984827999956906],[2.898492000065744],189.1595767,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
5,2,5,7,28,4,3,5,1,5,1,1,[3.813739200006239],[3.813747499953024],3,4,28,4,194.8046637,,,,,,,,,194.7891889,194.8046637,195.3034556,195.3035286,195.3199158,196.7190907,5,1,196.7196726,196.7355235,197.9505724,197.9505724,197.9672511,198.0339024,201.8480168,5,1,1,[3.813739200006239],[3.813747499953024],,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
