trial,lag,T1_pos,T2_pos,thisN,thisTrialN,thisRepN,T1_target,T2_target,textbox1.text,textbox2.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,trial.stopped,rsvp.started,stream_text.started,rsvp.stopped,trials.T1_target,trials.T2_target,response.started,text.started,textbox1.started,textbox2.started,text.stopped,button.started,response.stopped,trials.textbox1.text,trials.textbox2.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,fixation.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
2,3,4,7,25,1,3,8,8,8,5,1,[4.380592799978331],[4.380609599989839],3,1,25,1,183.4599547,,183.444334,183.4599547,183.9435236,183.943638,183.9590247,185.3757064,8,8,185.3766642,185.3913815,186.2057892,186.2057892,186.2389649,186.3058132,190.6870854,8,5,1,[4.380592799978331],[4.380609599989839],183.9590247,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
3,5,4,9,26,2,3,2,5,2,5,1,[4.3479121999116614],[4.347929899930023],3,2,26,2,190.7027722,,190.6876401,190.7027722,191.1862553,191.1863688,191.2021714,192.6181119,2,5,192.6190597,192.6342246,193.4486841,193.4486841,193.482294,193.5488365,197.8974332,2,5,1,[4.3479121999116614],[4.347929899930023],191.2021714,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
4,8,4,12,27,3,3,4,6,7,6,1,[4.963422300061211],[4.963439300074242],3,3,27,3,197.9124417,,197.8979357,197.9124417,198.3961153,198.3962284,198.4127997,199.8272978,4,6,199.828248,199.8433498,200.6577777,200.6577777,200.6577777,200.7751315,205.7392543,7,6,1,[4.963422300061211],[4.963439300074242],198.4127997,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
5,2,5,7,28,4,3,2,8,2,8,1,[5.1465473000425845],[5.146563800051808],3,4,28,4,205.7544431,,205.7397647,205.7544431,206.2379484,206.2380623,206.2539377,207.6697193,2,8,207.6706584,207.6858932,208.5000317,208.5000317,208.5340943,208.6166297,213.7638876,2,8,1,[5.1465473000425845],[5.146563800051808],206.2539377,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
6,3,5,8,29,5,3,8,5,8,5,1,[3.782224699971266],[3.782234700047411],3,5,29,5,213.7798986,,213.7643932,213.7798986,214.2634056,214.2635275,214.2793632,215.6957438,8,5,215.6970005,215.7112741,216.5261201,216.5261201,216.5261201,216.6419356,220.4247048,8,5,1,[3.782224699971266],[3.782234700047411],214.2793632,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
7,5,5,10,30,6,3,7,5,7,5,1,[4.147469300078228],[4.147486500092782],3,6,30,6,220.4397763,,220.4250638,220.4397763,220.923781,220.9238961,220.9394375,222.3548993,7,5,222.3558501,222.3709999,223.1859074,223.1859074,223.1859074,223.2853609,227.4335222,7,5,1,[4.147469300078228],[4.147486500092782],220.9394375,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
8,8,5,13,31,7,3,2,5,2,5,1,[5.245630900026299],[5.2456471000332385],3,7,31,7,227.4493558,,227.4340347,227.4493558,227.9332027,227.9333212,227.9492179,229.3647203,2,5,229.3656542,229.3807388,230.1952107,230.1952107,230.2284951,230.3119756,235.5583207,2,5,1,[5.245630900026299],[5.2456471000332385],227.9492179,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
1,2,4,6,32,0,4,5,3,2,5,1,[5.080132700037211],[5.0801493000471964],4,0,32,0,235.5749036,,235.5588232,235.5749036,236.0583343,236.0584479,236.0745951,237.4901991,5,3,237.4911419,237.506245,238.3042319,238.3042319,238.3375017,238.4374064,243.5182547,2,5,1,[5.080132700037211],[5.0801493000471964],236.0745951,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
2,3,4,7,33,1,4,8,6,8,6,1,[3.9642068999819458],[3.9642235999926925],4,1,33,1,243.5337549,,243.5187644,243.5337549,244.0168507,244.0169654,244.0332875,245.4488836,8,6,245.4498999,245.4650972,246.296424,246.296424,246.296424,246.4125979,250.3775355,8,6,1,[3.9642068999819458],[3.9642235999926925],244.0332875,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
3,5,4,9,34,2,4,5,1,5,1,1,[4.612914399942383],[4.612924900022335],4,2,34,2,250.39315,,250.3780526,250.39315,250.8769514,250.8770668,250.8937175,252.3092648,5,1,252.3102124,252.3255904,253.156499,253.156499,253.1896681,253.2557836,257.8692979,5,1,1,[4.612914399942383],[4.612924900022335],250.8937175,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
