delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon.stopped,polygon_2.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,responses.started,text.started,textbox.started,button.started,responses.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0.1,400,unexp,20,8,1,space,0.5489706,None,100,1,[3.697769800084643],[3.6977912000147626],1,8,20,0,147.5236185,,147.508109,147.5236185,148.5222767,148.5222767,148.5222767,149.0743725,space,0.5489706,None,149.0754817,149.1894525,149.5206755,149.4914762,149.4921233,149.5206755,149.5206755,149.5206755,153.2190454,400,1,[3.697769800084643],[3.6977912000147626],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.4,1000,exp,21,9,1,space,1.2142508,None,100,1,[3.131321599939838],[3.1313375999452546],1,9,21,7,153.2346965,,153.2195177,153.2346965,154.2340547,154.2340547,154.2340547,155.4514295,space,1.2142508,None,155.4524919,155.8652796,156.1969982,156.165797,156.1665286,156.1969982,156.1969982,156.1969982,159.3289787,100,1,[3.131321599939838],[3.1313375999452546],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.7,400,unexp,22,10,1,space,0.6909186,None,400,1,[4.330127900000662],[4.330143200000748],1,10,22,2,159.3456098,,159.3294779,159.3456098,160.3446382,160.3446382,160.3446382,161.0446938,space,0.6909186,None,161.0457348,161.7600846,162.0915817,162.0548918,162.0555844,162.0915817,162.0915817,162.0915817,166.4222993,400,1,[4.330127900000662],[4.330143200000748],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.4,1000,exp,23,11,1,space,2.0383769,None,100,1,[7.728120999992825],[7.7281374000012875],1,11,23,10,166.4383153,,166.4227715,166.4383153,167.4376172,167.4376172,167.4376172,169.4862649,space,2.0383769,None,169.4874334,169.9020244,170.2331319,170.2011516,170.2019462,170.2331319,170.2331319,170.2331319,177.961861,100,1,[7.728120999992825],[7.7281374000012875],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.7,1000,exp,24,0,2,space,0.672595,None,100,1,[2.5491726000327617],[2.5491882000351325],2,0,24,11,177.9768216,,177.9623423,177.9768216,178.975927,178.9592345,178.9592345,179.6432705,space,0.672595,None,179.644387,180.3580283,180.6896246,180.6589031,180.6595948,180.6896246,180.6896246,180.6896246,183.2393876,100,1,[2.5491726000327617],[2.5491882000351325],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.7,1000,exp,25,1,2,space,0.5749093,None,100,1,[7.710481200017966],[7.710497500025667],2,1,25,8,183.2549572,,183.2398595,183.2549572,184.2546573,184.2546573,184.2546573,184.83763,space,0.5749093,None,184.8386986,185.5529144,185.8848426,185.8523075,185.8529888,185.8848426,185.8848426,185.8848426,193.5959233,400,1,[7.710481200017966],[7.710497500025667],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.4,1000,exp,26,2,2,space,0.8053327,None,100,1,[2.8157579000107944],[2.8157738000154495],2,2,26,7,193.6113543,,193.5964054,193.6113543,194.610774,194.610774,194.610774,195.4273728,space,0.8053327,None,195.428564,195.8426602,196.1746829,196.1453856,196.1460733,196.1746829,196.1746829,196.1746829,198.9910494,400,1,[2.8157579000107944],[2.8157738000154495],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.7,1000,exp,27,3,2,space,0.6230486,None,100,1,[2.3487320999847725],[2.348751400015317],2,3,27,5,199.0065172,,198.9915255,199.0065172,200.0218282,200.0052565,200.0052565,200.6396249,space,0.6230486,None,200.6406909,201.3538346,201.6854787,201.6497795,201.6508647,201.6854787,201.6854787,201.6854787,204.0348244,100,1,[2.3487320999847725],[2.348751400015317],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.4,1000,exp,28,4,2,space,1.5531674,None,500,1,[3.914016399998218],[3.914033000008203],2,4,28,4,204.0513327,,204.0353021,204.0513327,205.0505437,205.0505437,205.0505437,206.6160571,space,1.5531674,None,206.6171365,207.0155807,207.3469403,207.3165019,207.3171988,207.3469403,207.3469403,207.3469403,211.2615457,400,1,[3.914016399998218],[3.914033000008203],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.4,1000,exp,29,5,2,space,1.4891976,None,100,1,[2.5318214999279007],[2.5318372999317944],2,5,29,10,211.2770196,,211.262012,211.2770196,212.277212,212.277212,212.277212,213.7760607,space,1.4891976,None,213.7771284,214.1916773,214.5231825,214.4913539,214.4920402,214.5231825,214.5231825,214.5231825,217.0555968,700,1,[2.5318214999279007],[2.5318372999317944],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.1,1000,exp,30,6,2,space,0.5328093,None,100,1,[2.0685289000393823],[2.068545200047083],2,6,30,3,217.0720162,,217.0560686,217.0720162,218.0876787,218.0703611,218.0703611,218.6047594,space,0.5328093,None,218.6058354,218.7201993,219.0516814,219.0147547,219.0155161,219.0516814,219.0516814,219.0516814,221.1208003,100,1,[2.0685289000393823],[2.068545200047083],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
