trial,lag,T1_pos,T2_pos,thisN,thisTrialN,thisRepN,T1_target,T2_target,textbox1.text,textbox2.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,trial.stopped,rsvp.started,stream_text.started,rsvp.stopped,trials.T1_target,trials.T2_target,response.started,text.started,textbox1.started,textbox2.started,text.stopped,button.started,response.stopped,trials.textbox1.text,trials.textbox2.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,fixation.stopped,thank_you.started,text_2.started,key_resp.started,thank_you.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
4,8,4,12,19,3,2,9,6,9,6,1,[3.34926639997866],[3.3492823999840766],2,3,19,3,139.0471521,,,,,,,,,139.0303093,139.0471521,139.5302687,139.5303964,139.5465057,140.9629182,9,6,140.963943,140.9790036,142.1922832,142.1922832,142.2256767,142.2920268,145.6420017,9,6,1,[3.34926639997866],[3.3492823999840766],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
5,2,5,7,20,4,2,4,2,2,4,1,[3.9818885000422597],[3.981905300053768],2,4,20,4,145.6573372,,,,,,,,,145.6425063,145.6573372,146.1406657,146.1408108,146.1575597,147.5723073,4,2,147.5732506,147.5884875,148.8028606,148.8028606,148.8028606,148.9189599,152.9015478,2,4,1,[3.9818885000422597],[3.981905300053768],146.1575597,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
6,3,5,8,21,5,2,9,6,9,6,1,[3.4990900000557303],[3.4991066999500617],2,5,21,5,152.9165335,,,,,,,,,152.9020669,152.9165335,153.3997439,153.3998592,153.4160423,154.8315044,9,6,154.8324734,154.8477333,156.0618905,156.0618905,156.0618905,156.1617478,159.6615424,9,6,1,[3.4990900000557303],[3.4991066999500617],153.4160423,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
7,5,5,10,22,6,2,5,5,5,7,1,[3.681362699950114],[3.6813854000065476],2,6,22,6,159.6761897,,,,,,,,,159.6620632,159.6761897,160.1600667,160.1601798,160.175982,161.5919242,5,5,161.5928797,161.6080355,162.8214265,162.8214265,162.8553185,162.9391382,166.6212417,5,7,1,[3.681362699950114],[3.6813854000065476],160.175982,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
8,8,5,13,23,7,2,2,9,2,9,1,[3.9988595999311656],[3.9988762999419123],2,7,23,7,166.6362918,,,,,,,,,166.6217537,166.6362918,167.1197268,167.1198415,167.1357312,168.551736,2,9,168.5526927,168.5679689,169.781601,169.781601,169.8145979,169.8978913,173.8974704,2,9,1,[3.9988595999311656],[3.9988762999419123],167.1357312,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
1,2,4,6,24,0,3,3,7,3,6,1,[4.347453800030053],[4.347476199967787],3,0,24,0,173.9123793,,,,,,,,,173.8979931,173.9123793,174.3955549,174.395671,174.411473,175.8277628,3,7,175.8287264,175.8438863,177.0578409,177.0578409,177.0910924,177.1576482,181.505875,3,6,1,[4.347453800030053],[4.347476199967787],174.411473,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
2,3,4,7,25,1,3,3,3,3,6,1,[3.8137046999763697],[3.813714799936861],3,1,25,1,181.5212993,,,,,,,,,181.506389,181.5212993,182.0055016,182.0056157,182.0209793,183.4365882,3,3,183.4375284,183.4527962,184.6667996,184.6667996,184.6667996,184.7666954,188.5809174,3,6,1,[3.8137046999763697],[3.813714799936861],182.0209793,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
3,5,4,9,26,2,3,4,6,4,2,1,[4.080423499923199],[4.080433800001629],3,2,26,2,188.5983495,,,,,,,,,188.5813213,188.5983495,189.0817664,189.0819033,189.0977212,190.513744,4,6,190.5146967,190.5300071,191.7595124,191.7595124,191.7934711,191.8591441,195.9401181,4,2,1,[4.080423499923199],[4.080433800001629],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
4,8,4,12,27,3,3,2,7,2,6,1,[3.9983533000340685],[3.9983692000387236],3,3,27,3,195.9578088,,,,,,,,,195.9405053,195.9578088,196.4407091,196.4408459,196.4567431,197.8721462,2,7,197.8730958,197.8886191,199.1027518,199.1027518,199.1355577,199.2186948,203.2177666,2,6,1,[3.9983533000340685],[3.9983692000387236],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
5,2,5,7,28,4,3,1,1,1,7,1,[4.047623299993575],[4.047638599993661],3,4,28,4,203.2334501,,,,,,,,,203.2182968,203.2334501,203.7173332,203.7174482,203.7332612,205.1482733,1,1,205.1492421,205.1644281,206.378779,206.378779,206.4114337,206.4949437,210.543274,1,7,1,[4.047623299993575],[4.047638599993661],203.7332612,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
