staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
33,0.5,4.5,32.65242389999912,,32.63694319999922,32.65242389999912,33.15237359999992,33.15237359999992,33.15237359999992,33.451508599999215,34.052155699999275,right,4.5,1,1,0.8981800000001385,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
34,0.5,4.5,34.067706499999986,,34.05246939999961,34.067706499999986,34.56707169999936,34.56707169999936,34.56707169999936,34.86723599999914,35.13434269999925,right,4.5,1,1,0.5599457000007533,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
35,0.5,4.5,35.1500518999992,,35.134637699999985,35.1500518999992,35.649531599999136,35.649531599999136,35.649531599999136,35.94932649999919,36.38273339999978,right,4.5,1,1,0.7173843999999008,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
36,0.5,4.0,36.39874849999978,,36.3830470999992,36.39874849999978,36.89822370000002,36.89822370000002,36.89822370000002,37.197885999999926,37.51530789999924,right,4.0,1,1,0.6014398999996047,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
37,0.5,4.0,37.53078899999946,,37.51562489999924,37.53078899999946,38.03116399999999,38.03116399999999,38.03116399999999,38.34709769999972,38.49740529999963,left,-4.0,1,1,0.46068879999984347,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
38,0.5,4.0,38.51331879999998,,38.497716599999876,38.51331879999998,39.01291389999915,39.01291389999915,39.01291389999915,39.312538700000005,39.46298789999946,left,-4.0,1,1,0.4449938999996448,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
39,0.5,3.5,39.47924559999956,,39.46329929999956,39.47924559999956,39.978157999999894,39.978157999999894,39.978157999999894,40.27845209999941,40.445220899999185,left,-3.5,1,1,0.46271340000021155,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
40,0.5,3.5,40.461402399999315,,40.44551559999945,40.461402399999315,40.96051129999978,40.96051129999978,40.96051129999978,41.2603694999998,41.377475199999935,right,3.5,1,1,0.4140741999999591,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
41,0.5,3.5,41.394049199999245,,41.37776929999927,41.394049199999245,41.893361299999924,41.893361299999924,41.893361299999924,42.19308789999923,42.377111999999215,left,-3.5,1,1,0.4674340999999913,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
42,0.5,3.0,42.39280839999992,,42.37741679999999,42.39280839999992,42.892013299999235,42.892013299999235,42.892013299999235,,43.12615769999957,right,3.0,1,1,0.22139400000014575,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
